Instruction names,#Executions
lw,643
lui,1
sext.w,63460
addiw,1603143
slli,1603144
srli,1
li,32692
fmv.d.x,32692
addi,1729420
bge,642
mv,132686
add,1635191
beq,1602500
addw,1602500
bne,1665959
fld,3269741
fmadd.d,1602500
fsub.d,64100
fdiv.d,32050
fsd,32050
j,641
csrr,641
flt.d,641
csrw,641
fsqrt.d,641
bnez,1282
fle.d,641
blt,640
csrrw,0
