Instruction names,#Cycles
lw,654
lui,9
sext.w,127875
addiw,1679166
slli,1649332
srli,2
li,33553
fmv.d.x,65572
addi,4879625
bge,642
mv,295547
add,3252843
beq,1630048
addw,1619555
bne,1833784
fld,6793168
fmadd.d,4849136
fsub.d,193680
fdiv.d,738475
fsd,64901
j,1282
csrr,2564
flt.d,1282
csrw,641
fsqrt.d,18589
bnez,19230
fle.d,1282
blt,640
csrrw,0
